Word,both_hit,both_fa,both_h_fa,d_both,c_both,img,Bird2001,Bristol2006,Chiarello1999,Glasgow2018,Cortese,MRC,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Max_strength.perceptual,Max_strength.action,Max_strength.sensorimotor,Minkowski3.perceptual,Minkowski3.action,Minkowski3.sensorimotor,c.Bird,c.Bristol,c.Chiarello,c.Cortese,c.Glasgow,c.MRC,Frequency,Length.y,Body,Food,Object,Communication
ACE,0.71,0.07,0.64,2.03,0.47,4.5,NA,NA,NA,3.697,4.5,NA,0.438,0,0,0.375,0,2.062,0.4,1.6,1.35,0.6,0.5,2.062,1.6,2.062,2.073,1.909,2.513,NA,NA,NA,-0.00076407,-1.161816641,NA,0.21577965,-1.35385656,-1.104561363,-0.937167257,-0.752791901,-1.393772743
ACHE,0.81,0.09,0.73,2.26,0.24,3.8,NA,3.11,NA,3.063,3.8,4.43,1,0.062,1.188,4.375,0.062,1.062,2.737,3.053,3.211,2.579,2.684,4.375,3.211,4.375,4.441,4.912,5.907,NA,-0.898806214,NA,-0.70076407,-1.795816641,-0.367303941,-0.241662519,-1.174700109,3.307704317,0.184046221,-2.557399352,1.049850436
ACT,0.68,0.18,0.51,1.41,0.23,3.5,NA,NA,4.78571,NA,3.5,4.33,2.571,0.238,0.571,0.81,0.238,3.19,2.55,2.85,3.15,2.8,2.4,3.19,3.15,3.19,3.69,4.744,5.395,NA,NA,-0.130724131,-1.00076407,NA,-0.467303941,1.158832191,-1.251046972,1.481546531,-0.462019007,0.037505356,1.648321286
ADD,0.55,0.1,0.45,1.4,0.57,3.3,5.15,NA,5.42857,3.943,3.3,NA,0.739,0.043,0.435,1.478,0.043,2.478,0.4,2.2,2.95,1.25,0.25,2.478,2.95,2.95,2.665,3.372,3.855,0.767889437,NA,0.512135869,-1.20076407,-0.915816641,NA,1.345279037,-1.022531462,-0.478319156,-0.525374052,-0.870719357,-0.222782008
AGE,0.66,0.08,0.58,1.79,0.48,3.4,5.29,NA,NA,3.286,3.4,4.68,2.25,1.25,1.812,2.25,1.062,3.812,2.429,2.381,3.429,2.238,2.238,3.812,3.429,3.812,4.436,4.49,5.624,0.907889437,NA,NA,-1.10076407,-1.572816641,-0.117303941,1.276881177,-1.165085876,1.654643916,0.751301772,0.114105739,1.293254346
AID,0.68,0.15,0.53,1.51,0.27,3.5,4.75,NA,NA,4.097,3.5,4.13,2.118,0,0.588,0.353,0.059,3.235,1.737,2.579,2.421,1.895,1.526,3.235,2.579,3.235,3.52,3.607,4.491,0.367889437,NA,NA,-1.00076407,-0.761816641,-0.667303941,0.486350021,-1.445817995,0.51756865,-0.769706449,0.259862426,0.712321603
AIDE,0.67,0.12,0.55,1.63,0.37,2.5,NA,2.5,NA,NA,2.5,NA,1.526,0.105,1.053,0.632,0,2.158,1.632,1.947,2.263,1.737,1.526,2.158,2.263,2.263,2.467,3.179,3.612,NA,-1.508806214,NA,-2.00076407,NA,NA,-0.857326255,-1.404044536,0.514937768,-0.619862423,-0.469755409,0.108275599
AIM,0.73,0.17,0.56,1.56,0.16,3.9,5.04,NA,4.35714,2.941,3.9,3.83,0.368,0,0.895,0.368,0,3.947,1,3.85,3.3,0.65,1.35,3.947,3.85,3.947,3.965,4.591,5.418,0.657889437,NA,-0.559294131,-0.60076407,-1.917816641,-0.967303941,0.692251976,-1.138249328,0.799865832,-0.820478925,1.198868565,0.236355463
AIR,0.72,0.18,0.53,1.48,0.16,4,4.69,NA,NA,2.969,4,4.5,1.684,0.368,2.789,1.368,1.842,0.684,1.95,2.45,3.95,3.85,2.3,2.789,3.95,3.95,3.292,5.348,5.735,0.307889437,NA,NA,-0.50076407,-1.889816641,-0.297303941,1.359335444,-1.264900341,1.488612064,1.339946375,-0.817301565,1.420925506
AISLE,0.69,0.1,0.59,1.76,0.37,5.3,NA,5.3,NA,5.438,5.3,5.28,0.5,0.111,1.5,0.222,0.111,3.889,2.455,1.091,1.955,0.682,1,3.889,2.455,3.889,3.965,2.919,4.434,NA,1.291193786,NA,0.79923593,0.579183359,0.482696059,0.224544175,-0.801550247,0.420292013,-0.773027543,0.64277006,-0.714834282
ALE,0.93,0.28,0.65,2.08,-0.46,4,NA,NA,NA,NA,4,5.26,0.438,3.75,1.188,1.438,2.375,2.938,0.118,1.588,2.176,3.588,1.353,3.75,3.588,3.75,4.582,3.979,5.42,NA,NA,NA,-0.50076407,NA,0.462696059,-0.529689301,-1.482376872,-0.319979252,3.851937546,-0.572631463,-0.032829348
ALL,0.55,0.08,0.47,1.51,0.63,2.3,NA,NA,NA,2.969,2.3,3.32,2.125,0.812,2.062,1.312,0.812,3.25,1.571,2.048,2.667,2,1.524,3.25,2.667,3.25,3.827,3.502,4.626,NA,NA,NA,-2.20076407,-1.889816641,-1.477303941,2.524298124,-1.202789274,0.474508295,0.261619746,-0.679436453,0.043474651
AND,0.71,0.14,0.57,1.64,0.26,1.3,NA,NA,NA,NA,1.3,2.26,1.842,0.158,0.421,0.474,0.211,1.316,0.316,0.632,0.947,1.368,0.368,1.842,1.368,1.842,2.059,1.553,2.319,NA,NA,NA,-3.20076407,NA,-2.537303941,2.910490078,-1.161058811,-1.810173519,-0.663933068,-1.975404906,-1.510818858
ANT,0.88,0.13,0.75,2.28,-0.03,6.7,NA,NA,NA,6.743,6.7,6.13,0.467,0.133,2.133,0.133,0.467,4.267,0.842,1.368,2.263,0.263,0.421,4.267,2.263,4.267,4.441,2.458,4.679,NA,NA,NA,2.19923593,1.884183359,1.332696059,0.334112624,-1.192446649,-0.43398348,-0.359281169,1.462957477,-0.647306372
APE,0.88,0.12,0.76,2.35,0.01,6.8,NA,NA,NA,6.647,6.8,6.16,3,0.222,1.667,0.222,1.611,4.222,0.737,1.211,2.105,0.684,0.684,4.222,2.105,4.222,4.807,2.299,4.977,NA,NA,NA,2.29923593,1.788183359,1.362696059,0.315989903,-1.357459588,-0.667868757,0.178119898,1.505344064,0.589772972
APT,0.91,0.19,0.73,2.25,-0.24,1.9,NA,NA,NA,NA,1.9,2.95,1.231,0.077,0.308,1.308,0.077,1.769,0.667,1.056,2.222,0.722,0.278,1.769,2.222,2.222,2.13,2.342,2.824,NA,NA,NA,-2.60076407,NA,-1.847303941,-0.629391813,-1.225844264,-0.698361647,-0.710621317,-1.697533589,-0.652677659
ARC,0.81,0.1,0.71,2.14,0.2,5,NA,NA,NA,NA,5,4.94,0.875,0.188,0.938,0.25,0.25,3.688,0.588,0.882,0.824,0.118,0.412,3.688,0.882,3.688,3.725,1.15,3.761,NA,NA,NA,0.49923593,NA,0.142696059,-0.322493097,-1.060446235,-0.97508741,-0.595658599,0.461652257,-1.309390017
